EMP,ESTAB,old_naics,state,county,NAICS2012
0,2,42512,48,001,42512
0,2,425120,48,001,425120
1971,165,44,48,001,44-45
268,32,441,48,001,441
166,13,4411,48,001,4411
140,7,44111,48,001,44111
140,7,441110,48,001,441110
26,6,44112,48,001,44112
26,6,441120,48,001,441120
102,19,4413,48,001,4413
58,11,44131,48,001,44131
58,11,441310,48,001,441310
44,8,44132,48,001,44132
44,8,441320,48,001,441320
0,7,442,48,001,442
0,3,4421,48,001,4421
0,3,44211,48,001,44211
0,3,442110,48,001,442110
0,4,4422,48,001,4422
0,3,44221,48,001,44221
0,3,442210,48,001,442210
0,1,44229,48,001,44229
0,1,442299,48,001,442299
0,8,443,48,001,443
0,8,4431,48,001,4431
0,7,44311,48,001,44311
0,2,443111,48,001,443111
0,5,443112,48,001,443112
0,1,44312,48,001,44312
0,1,443120,48,001,443120
231,18,444,48,001,444
208,13,4441,48,001,4441
0,1,44411,48,001,44411
0,1,444110,48,001,444110
0,1,44412,48,001,44412
0,1,444120,48,001,444120
0,4,44413,48,001,44413
0,4,444130,48,001,444130
71,7,44419,48,001,44419
71,7,444190,48,001,444190
23,5,4442,48,001,4442
0,1,44421,48,001,44421
0,1,444210,48,001,444210
0,4,44422,48,001,44422
0,4,444220,48,001,444220
222,16,445,48,001,445
205,10,4451,48,001,4451
194,6,44511,48,001,44511
194,6,445110,48,001,445110
11,4,44512,48,001,44512
11,4,445120,48,001,445120
0,1,4452,48,001,4452
0,1,44529,48,001,44529
0,1,445299,48,001,445299
0,5,4453,48,001,4453
0,5,44531,48,001,44531
0,5,445310,48,001,445310
0,14,446,48,001,446
0,14,4461,48,001,4461
0,8,44611,48,001,44611
0,8,446110,48,001,446110
0,2,44612,48,001,44612
0,2,446120,48,001,446120
0,4,44619,48,001,44619
0,3,446191,48,001,446191
0,1,446199,48,001,446199
208,20,447,48,001,447
208,20,4471,48,001,4471
202,17,44711,48,001,44711
202,17,447110,48,001,447110
6,3,44719,48,001,44719
6,3,447190,48,001,447190
0,16,448,48,001,448
0,10,4481,48,001,4481
0,2,44812,48,001,44812
